restaurant_id,name,description,latitude,longitude,city_id,rating,opening_date
1,Smith Bistro,A cozy restaurant with an extensive menu of exquisite specialties.,36.435470791325145,10.714438781953074,16,4.1,2022-12-29 06:21:09
2,Le Petit Bertrand,Known for its cozy atmosphere and seasonal dishes.,34.72672232362206,10.797078859690565,17,3.4,2024-01-21 16:54:42
3,Chaabane Bistro,A lively spot offering exquisite cuisine.,36.7675525102908,10.143695871199975,23,4.4,2022-06-04 10:29:52
4,Le Petit BenAli,A artistic spot offering organic cuisine.,36.82598392365558,10.216550648750918,13,4.8,2022-09-11 15:10:54
5,La Rue de Roux,An inviting space with a focus on artistic ingredients.,36.80292528826779,10.197193660143826,23,3.4,2023-11-30 08:04:26
6,Johnson Pizza Hub,A hidden gem known for its artistic and fresh service.,34.78122230501249,10.79231713954654,17,3.0,2024-11-16 05:42:51
7,Chez BenAli,A trendy eatery with a organic twist on classic dishes.,34.73707192854902,10.717645657009477,17,5.0,2021-06-27 03:24:40
8,La Cantine Durand,A intimate eatery with a organic twist on classic dishes.,36.8208223051994,10.211488134772134,23,3.8,2024-04-03 15:17:18
9,Roux Bistro,A popular destination for elegant and delicious meals.,36.84179126727513,10.150858258690882,1,4.1,2021-10-21 10:20:07
10,Johnson Grill,A vibrant eatery with a authentic twist on classic dishes.,34.74445509398246,10.7998828347665,17,5.0,2020-04-22 07:22:33
11,Wilson Eatery,A traditional spot offering authentic cuisine.,36.85128359719841,10.165145999476954,1,4.4,2021-02-15 19:51:42
12,Chez Bertrand,A popular destination for traditional and seasonal meals.,36.203129267355955,8.66799681885369,11,4.3,2021-06-11 03:38:16
13,Wilson Bistro,A intimate eatery with a local twist on classic dishes.,36.80130582928743,10.198927211674706,23,3.9,2023-04-21 09:14:41
14,Marzouki Bistro,A popular destination for inviting and organic meals.,36.131943316421115,8.762412115239012,11,3.0,2022-10-08 18:30:51
15,Johnson Diner,A hidden gem known for its trendy and exquisite service.,36.77509113950668,10.200178303729986,23,3.7,2021-05-05 18:29:01
16,Le Petit BenYoussef,A popular destination for vibrant and exquisite meals.,36.84369699266502,10.201641925880322,13,4.4,2021-01-26 14:11:03
17,Rodriguez Grill,A hidden gem known for its rustic and fresh service.,36.50415273167315,10.737104662802851,16,3.0,2023-11-23 07:19:13
18,Williams Diner,Known for its cozy atmosphere and fusion dishes.,36.80205318860682,10.145483818649602,23,4.7,2021-07-02 06:52:36
19,Smith Pizza Hub,Serving rustic flavors with a authentic touch.,33.96861667185783,8.161929113797685,22,3.6,2022-08-20 09:28:14
20,Au Coin de BenAli,A vibrant spot offering authentic cuisine.,35.211761079942974,8.78919856889886,9,3.4,2022-08-03 02:25:57
21,Chez Marzouki,An inviting space with a focus on vibrant ingredients.,36.85160361274587,10.146393487811036,23,3.9,2024-09-28 08:46:01
22,Jones Grill,A artistic spot offering exquisite cuisine.,36.472995095792875,10.724742808114007,16,3.1,2024-10-16 02:40:46
23,Johnson Grill,A traditional spot offering innovative cuisine.,36.69100301750771,9.178024395221886,2,4.6,2021-04-17 16:46:54
24,Gauthier Bistro,A rustic spot offering innovative cuisine.,36.82996037932333,10.200710744375145,1,3.7,2021-10-23 06:37:03
25,Wilson Grill,Serving intimate flavors with a fusion touch.,33.94537626883819,8.147608722829668,22,4.4,2021-01-03 04:22:44
26,Brown Burger Joint,A hidden gem known for its rustic and delicious service.,36.8759801149356,10.190768626389065,1,3.5,2024-03-20 01:06:21
27,La Cantine Faure,A vibrant restaurant with an extensive menu of organic specialties.,36.75873312473484,10.21700731355503,23,3.0,2024-01-09 02:29:45
28,Brown Bistro,An inviting space with a focus on vibrant ingredients.,36.72830610111348,10.192946053728265,3,4.0,2023-04-29 07:36:30
29,Davis Burger Joint,Known for its modern atmosphere and organic dishes.,36.793220373924584,10.139567376090241,23,3.8,2022-07-06 00:38:22
30,Roux Bistro,A hidden gem known for its vibrant and innovative service.,36.829383725049254,10.146955702211036,23,3.8,2022-10-27 13:10:46
31,Garcia Bistro,A popular destination for traditional and seasonal meals.,36.77030723514795,10.140640959289177,23,3.5,2023-05-02 14:13:14
32,Moreau Bistro,A popular destination for vibrant and authentic meals.,35.83929874780362,10.569754264312888,20,4.3,2024-04-07 12:56:02
33,Williams Bistro,A rustic spot offering authentic cuisine.,36.78128465865329,10.171701125032913,23,3.1,2025-01-08 16:46:25
34,Le Petit Lefevre,A elegant restaurant with an extensive menu of exquisite specialties.,35.80207783693966,10.623072897655225,20,3.5,2022-08-09 12:23:13
35,Brown Eatery,A trendy eatery with a exquisite twist on classic dishes.,36.48367747270472,10.71489629238766,16,4.4,2022-10-25 07:01:38
36,Marzouki Bistro,A popular destination for lively and delicious meals.,36.47378754190462,10.744410965394291,16,3.4,2022-08-26 12:30:09
37,La Rue de Durand,A popular destination for traditional and organic meals.,35.704418868826316,10.146475989060024,8,5.0,2020-04-23 17:29:41
38,Davis Pizza Hub,A popular destination for cozy and fresh meals.,36.14174663847515,8.749851438125999,11,3.7,2021-02-09 07:02:08
39,Jones Diner,A modern eatery with a innovative twist on classic dishes.,35.810333742889135,10.595443811822802,20,3.0,2023-09-07 12:14:32
40,Lefevre du Coin,A popular destination for lively and local meals.,33.88229834127268,10.051025982779313,5,3.5,2024-02-27 12:27:03
41,Miller Bistro,A hidden gem known for its artistic and fresh service.,36.825302994777196,10.185312571718187,1,4.7,2021-10-25 16:32:03
42,Brown Eatery,A charming restaurant with an extensive menu of local specialties.,36.78454987557512,10.201623189295352,23,4.6,2021-05-21 07:32:00
43,La Rue de Gauthier,A cozy eatery with a exquisite twist on classic dishes.,34.73331380028301,10.790673249105266,17,4.2,2022-03-05 02:08:04
44,Le Petit Trabelsi,An inviting space with a focus on modern ingredients.,36.91252820705005,10.183859565879013,1,3.0,2025-02-07 15:16:26
45,La Cantine Bertrand,A trendy eatery with a classic twist on classic dishes.,33.394421226158435,10.56403436846305,14,3.7,2021-10-04 09:52:34
46,Moreau Bistro,A vibrant spot offering fusion cuisine.,32.9263788466492,10.487670816284762,21,3.8,2022-04-28 17:59:42
47,Brown Burger Joint,Known for its inviting atmosphere and fusion dishes.,34.42405046776672,8.832464231579376,6,3.0,2024-07-19 06:52:30
48,Williams Eatery,A hidden gem known for its cozy and organic service.,36.81286662628004,10.171213889324813,23,5.0,2020-05-22 13:36:28
49,La Rue de Moreau,A elegant eatery with a seasonal twist on classic dishes.,36.78118514770327,10.189960661998164,3,4.9,2021-01-03 17:17:57
50,Roux du Coin,Serving traditional flavors with a delicious touch.,33.3549515528846,10.530616375400616,14,3.0,2023-09-11 16:25:49
51,Garcia Eatery,A lively restaurant with an extensive menu of innovative specialties.,36.79923797354907,10.210135817655297,23,4.7,2021-04-20 11:16:13
52,Wilson Eatery,A popular destination for vibrant and delicious meals.,34.76046492778991,10.799585098888237,17,3.1,2024-06-04 09:33:46
53,Chez BenAli,A rustic restaurant with an extensive menu of innovative specialties.,36.82906478153854,10.180801150969886,23,3.6,2022-12-03 18:58:20
54,Chez Girard,A modern eatery with a local twist on classic dishes.,36.84967751652209,10.15948596091735,23,4.8,2021-07-13 23:32:53
55,Bertrand du Coin,A rustic restaurant with an extensive menu of seasonal specialties.,36.82673620401447,10.157565500210318,1,4.6,2022-06-29 06:30:20
56,Jones Eatery,An inviting space with a focus on charming ingredients.,36.82287800214185,10.141429911852455,23,5.0,2020-10-03 22:27:56
57,Mejri Bistro,Known for its cozy atmosphere and classic dishes.,36.70445497602353,10.181785728188864,3,3.0,2024-09-07 15:44:04
58,Lambert Bistro,Serving lively flavors with a classic touch.,36.81526625355818,10.14847081386532,23,3.0,2025-01-22 12:58:11
59,Au Coin de Girard,A hidden gem known for its rustic and exquisite service.,36.7747560393261,10.193995017953362,23,3.7,2024-01-01 16:57:34
60,Au Coin de Roux,A artistic eatery with a local twist on classic dishes.,36.20264515716468,8.716702961906337,11,4.3,2023-03-15 15:01:24
61,Lambert Bistro,A popular destination for elegant and fusion meals.,33.8326919506922,10.085935543061359,5,3.2,2024-01-26 01:22:11
62,Johnson Bistro,Serving artistic flavors with a fresh touch.,34.72913661638231,10.797720846808888,17,4.1,2022-04-26 09:59:46
63,Belhaj Bistro,A hidden gem known for its elegant and classic service.,33.96016039194798,8.131340266454686,22,3.0,2024-12-06 22:08:03
64,Lambert Bistro,A elegant eatery with a fresh twist on classic dishes.,36.74911760083286,10.171232120067824,3,3.0,2024-10-13 17:01:28
65,Smith Diner,A rustic eatery with a organic twist on classic dishes.,36.84149910222709,10.221955892106694,23,4.2,2023-02-23 22:33:07
66,La Rue de Bouraoui,Known for its artistic atmosphere and exquisite dishes.,36.75551942661694,10.173367129556627,3,5.0,2020-11-14 01:17:38
67,La Rue de BenAli,A trendy spot offering local cuisine.,36.39339748886236,10.166118179990752,24,4.1,2022-04-29 09:21:59
68,Girard Bistro,A hidden gem known for its elegant and local service.,36.910876735205335,10.128823862298166,1,5.0,2021-01-13 18:43:41
69,Jones Diner,A popular destination for intimate and seasonal meals.,35.85284257337884,10.57154048859073,20,4.8,2021-01-31 07:22:12
70,Wilson Pizza Hub,A hidden gem known for its charming and authentic service.,33.87752440249978,10.092547975651593,5,3.8,2022-05-31 18:26:22
71,Bertrand Bistro,A inviting spot offering fusion cuisine.,35.864198942462366,10.586700940944969,20,3.8,2023-08-08 18:59:23
72,Lambert du Coin,Serving elegant flavors with a innovative touch.,36.90977550681235,10.121407932802812,1,4.3,2023-10-21 16:28:09
73,La Cantine Bouraoui,A hidden gem known for its charming and classic service.,34.758877177617855,10.743808439932385,17,4.3,2021-12-16 03:02:53
74,Chez Moreau,Serving intimate flavors with a organic touch.,36.36979755157028,10.119310764484725,24,4.8,2022-08-06 07:32:51
75,Chaabane Bistro,A trendy restaurant with an extensive menu of seasonal specialties.,36.51224349954361,10.69373839941932,16,3.0,2022-06-24 01:10:27
76,Girard Bistro,A lively eatery with a fresh twist on classic dishes.,36.78353902256894,10.197712997826898,23,4.2,2023-05-21 09:10:17
77,Le Petit Faure,Known for its rustic atmosphere and seasonal dishes.,36.78257903306365,10.150837882793745,23,3.8,2023-04-06 10:15:34
78,Wilson Burger Joint,An inviting space with a focus on artistic ingredients.,35.19271568900842,8.824665930927644,9,4.8,2020-05-27 15:19:44
79,La Cantine Trabelsi,An inviting space with a focus on intimate ingredients.,36.50107430348976,8.816695226199098,7,3.3,2024-08-10 18:29:05
80,Miller Grill,Serving intimate flavors with a authentic touch.,36.85227361028748,10.140104309003503,23,3.0,2023-03-03 05:40:58
