post_id,restaurant_id,image_url,description,posted_at
1,61,https://via.placeholder.com/150?text=Food+1,"Disappointing, bland dish with poor quality.",2025-01-02 03:48:02
2,75,https://via.placeholder.com/150?text=Food+2,The delightful taste and outstanding presentation exceeded expectations.,2025-02-17 07:31:25
3,177,https://via.placeholder.com/150?text=Food+3,"Disappointing, lackluster dish with underwhelming quality.",2025-01-18 23:56:51
4,199,https://via.placeholder.com/150?text=Food+4,"Delicious, amazing dish with satisfying service.",2025-02-04 16:08:03
5,192,https://via.placeholder.com/150?text=Food+5,"Delicious, fantastic dish with exquisite service.",2025-02-15 07:32:34
6,140,https://via.placeholder.com/150?text=Food+6,"Delicious, incredible dish with memorable service.",2025-01-01 21:24:29
7,45,https://via.placeholder.com/150?text=Food+7,"Unfortunately, the dish was subpar and unsatisfactory.",2025-02-11 07:48:57
8,47,https://via.placeholder.com/150?text=Food+8,The amazing taste and satisfying presentation exceeded expectations.,2025-01-19 00:42:14
9,127,https://via.placeholder.com/150?text=Food+9,"Disappointing, lackluster dish with poor quality.",2025-01-11 13:08:14
10,176,https://via.placeholder.com/150?text=Food+10,"Delicious, incredible dish with vibrant service.",2025-01-05 20:38:55
11,164,https://via.placeholder.com/150?text=Food+11,A truly incredible experience with outstanding flavors.,2025-01-28 21:33:01
12,37,https://via.placeholder.com/150?text=Food+12,A truly remarkable experience with fresh flavors.,2025-02-01 18:51:40
13,50,https://via.placeholder.com/150?text=Food+13,A subpar experience with off flavors.,2025-01-21 04:58:09
14,15,https://via.placeholder.com/150?text=Food+14,"Unfortunately, the dish was subpar and unsatisfactory.",2025-02-08 18:04:57
15,75,https://via.placeholder.com/150?text=Food+15,A lackluster experience with unsatisfactory flavors.,2025-03-26 03:01:36
16,65,https://via.placeholder.com/150?text=Food+16,The exceptional taste and memorable presentation exceeded expectations.,2025-01-21 02:52:33
17,194,https://via.placeholder.com/150?text=Food+17,Absolutely exceptional and satisfying! Highly recommended.,2025-03-01 00:28:05
18,133,https://via.placeholder.com/150?text=Food+18,A mediocre experience with off flavors.,2025-03-04 18:36:16
19,29,https://via.placeholder.com/150?text=Food+19,The mediocre presentation and underwhelming taste left much to desire.,2025-01-31 10:15:50
20,24,https://via.placeholder.com/150?text=Food+20,Absolutely incredible and vibrant! Highly recommended.,2025-03-06 03:12:12
21,112,https://via.placeholder.com/150?text=Food+21,"Delicious, remarkable dish with outstanding service.",2025-01-16 03:55:12
22,51,https://via.placeholder.com/150?text=Food+22,"Unfortunately, the dish was bland and poor.",2025-01-29 05:13:48
